Project,Company Name,Item Category,Item Group,Item Country,Item,Quantity,Amount (USD),Account Sid,Account Type,Parent SID,Month,Year,Invoice Number
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,484,$38.72,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),05,2025,HAWSGN-2025-05
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia,10,$0.50,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),05,2025,HAWSGN-2025-05
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,83,$2.08,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),05,2025,HAWSGN-2025-05
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Conference,Singapore,Conference Minute - APAC - Singapore,"1,091",$3.27,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),05,2025,HAWSGN-2025-05
Demo,MNC Tech Sdn Bhd,Service,Text to Speech,United States,Amazon Polly Characters,83,$0.07,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),05,2025,HAWSGN-2025-05
Demo,MNC Tech Sdn Bhd,Service,Programmable Messaging,Non Geographic,Failed Message Processing Fee,1,$0.00,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),05,2025,HAWSGN-2025-05
Demo,MNC Tech Sdn Bhd,Service,Client Calls,Non Geographic,Twilio Client Minutes,26,$0.10,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),05,2025,HAWSGN-2025-05
Demo,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - Outbound API,19,$0.05,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),05,2025,HAWSGN-2025-05
Demo,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - Dual Channel API Start Call,64,$0.16,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),05,2025,HAWSGN-2025-05
Demo,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - TwiML <Record>,12,$0.03,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),05,2025,HAWSGN-2025-05
Demo,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - TwiML <Dial>,33,$0.08,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),05,2025,HAWSGN-2025-05
Demo,MNC Tech Sdn Bhd,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,1,$4.00,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),05,2025,HAWSGN-2025-05
Demo,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,77,$6.16,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),05,2025,HAWSGN-2025-05
Demo,MNC Tech Sdn Bhd,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,87,$2.18,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),05,2025,HAWSGN-2025-05
Demo,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia,6,$0.30,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),05,2025,HAWSGN-2025-05
Demo,MNC Tech Sdn Bhd,Service,Conference,Singapore,Conference Minute - APAC - Singapore,47,$0.14,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),05,2025,HAWSGN-2025-05
