Project,Company Name,Item Category,Item Group,Item Country,Item,Quantity,Amount (USD),Account Sid,Account Type,Parent SID,Month,Year,Invoice Number
SunSuria City,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,268,$21.44,AC53f739a5de9da58cd87f2f8c08d42f02,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),10,2025,HAWSGN-2025-10
SunSuria City,MNC Tech Sdn Bhd,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,14,$0.40,AC53f739a5de9da58cd87f2f8c08d42f02,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),10,2025,HAWSGN-2025-10
SunSuria City,MNC Tech Sdn Bhd,Service,Conference,Singapore,Conference Minute - APAC - Singapore,621,$1.86,AC53f739a5de9da58cd87f2f8c08d42f02,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),10,2025,HAWSGN-2025-10
Armani Developments,MNC Tech Sdn Bhd,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,1,$4.00,AC55631df23491fa8eac85ef54abbff9e9,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),10,2025,HAWSGN-2025-10
Armani Developments,MNC Tech Sdn Bhd,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,2,$0.06,AC55631df23491fa8eac85ef54abbff9e9,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),10,2025,HAWSGN-2025-10
Armani Developments,MNC Tech Sdn Bhd,Service,Text to Speech,United States,Amazon Polly Characters,2,$0.00,AC55631df23491fa8eac85ef54abbff9e9,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),10,2025,HAWSGN-2025-10
Pangsapuri Azalea,MNC Tech Sdn Bhd,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,1,$4.00,AC5736462d5d66fe34587bb3fb65c9bb83,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),10,2025,HAWSGN-2025-10
Pangsapuri Azalea,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - TwiML <Dial>/<Recording>,1,$0.00,AC5736462d5d66fe34587bb3fb65c9bb83,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),10,2025,HAWSGN-2025-10
Pangsapuri Azalea,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,1,$0.08,AC5736462d5d66fe34587bb3fb65c9bb83,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),10,2025,HAWSGN-2025-10
Pangsapuri Azalea,MNC Tech Sdn Bhd,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,2,$0.06,AC5736462d5d66fe34587bb3fb65c9bb83,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),10,2025,HAWSGN-2025-10
Pangsapuri Azalea,MNC Tech Sdn Bhd,Service,Text to Speech,United States,Amazon Polly Characters,2,$0.00,AC5736462d5d66fe34587bb3fb65c9bb83,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),10,2025,HAWSGN-2025-10
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Programmable Messaging,Non Geographic,Failed Message Processing Fee,28,$0.03,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),10,2025,HAWSGN-2025-10
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Client Calls,Non Geographic,Twilio Client Minutes,248,$0.99,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),10,2025,HAWSGN-2025-10
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - Outbound API,160,$0.40,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),10,2025,HAWSGN-2025-10
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,1,$4.00,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),10,2025,HAWSGN-2025-10
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Calls,United States,Programmable Outbound Minute - United States & Canada,1,$0.01,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),10,2025,HAWSGN-2025-10
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia,1,$0.05,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),10,2025,HAWSGN-2025-10
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,161,$12.88,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),10,2025,HAWSGN-2025-10
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Conference,Singapore,Conference Minute - APAC - Singapore,410,$1.23,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),10,2025,HAWSGN-2025-10
SunSuria Forum,MNC Tech Sdn Bhd,Service,Text to Speech,United States,Amazon Polly Characters,3,$0.00,AC7b88b74562d8c3af1dd9f708e7bfe10b,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),10,2025,HAWSGN-2025-10
SunSuria Forum,MNC Tech Sdn Bhd,Service,Programmable Messaging,Non Geographic,Failed Message Processing Fee,5,$0.01,AC7b88b74562d8c3af1dd9f708e7bfe10b,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),10,2025,HAWSGN-2025-10
SunSuria Forum,MNC Tech Sdn Bhd,Service,Client Calls,Non Geographic,Twilio Client Minutes,88,$0.35,AC7b88b74562d8c3af1dd9f708e7bfe10b,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),10,2025,HAWSGN-2025-10
SunSuria Forum,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - Outbound API,32,$0.08,AC7b88b74562d8c3af1dd9f708e7bfe10b,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),10,2025,HAWSGN-2025-10
