locationId,date,whatsappAmount,emailAmount,addedBy,notes
ZGtHSLAGOT83yj6W1pDG,2025-01-15,1000,0,Chloe,Top up credits
ZGtHSLAGOT83yj6W1pDG,2025-06-15,2000,0,KY,Top up WA credits
